Label,Class,Species,Location
CDd1,CDd,Dictyota dichotoma,Cabo-De-Rama
CDd2,CDd,Dictyota dichotoma,Cabo-De-Rama
CDd3,CDd,Dictyota dichotoma,Cabo-De-Rama
CPa1,CPa,Padina antillarum,Cabo-De-Rama
CPa2,CPa,Padina antillarum,Cabo-De-Rama
CPa3,CPa,Padina antillarum,Cabo-De-Rama
CSp1,CSp,Sargassum polycystum,Cabo-De-Rama
CSp2,CSp,Sargassum polycystum,Cabo-De-Rama
CSp3,CSp,Sargassum polycystum,Cabo-De-Rama
DPa1,DPa,Padina antillarum,Dona Paula
DPa2,DPa,Padina antillarum,Dona Paula
DPa3,DPa,Padina antillarum,Dona Paula
DSp1,DSp,Sargassum polycystum,Dona Paula
DSp2,DSp,Sargassum polycystum,Dona Paula
DSp3,DSp,Sargassum polycystum,Dona Paula
GIDd1,GIDd,Dictyota dichotoma,Grand Island
GIDd2,GIDd,Dictyota dichotoma,Grand Island
GIDd3,GIDd,Dictyota dichotoma,Grand Island
GIPa1,GIPa,Padina antillarum,Grand Island
GIPa2,GIPa,Padina antillarum,Grand Island
GIPa3,GIPa,Padina antillarum,Grand Island
GISp1,GISp,Sargassum polycystum,Grand Island
GISp2,GISp,Sargassum polycystum,Grand Island
GISp3,GISp,Sargassum polycystum,Grand Island
PPa1,PPa,Padina antillarum,Palolem
PPa2,PPa,Padina antillarum,Palolem
PPa3,PPa,Padina antillarum,Palolem
PSp1,PSp,Sargassum polycystum,Palolem
PSp2,PSp,Sargassum polycystum,Palolem
PSp3,PSp,Sargassum polycystum,Palolem
