#NAME,CDd1,CDd2,CDd3,GIDd1,GIDd2,GIDd3,CPa1,CPa2,CPa3,GIPa1,GIPa2,GIPa3,DPa1,DPa2,DPa3,PPa1,PPa2,PPa3,CSp1,CSp2,CSp3,GISp1,GISp2,GISp3,DSp1,DSp2,DSp3,PSp1,PSp2,PSp3
Scopolamine,30639.70682,21432.69918,12309.08119,14276.33703,11752.65898,1457.668218,3677.592949,6361.587785,2384.22592,5959.074712,4807.215628,7458.169165,3500.030005,1473.386136,3831.04308,57034.94678,31650.97668,54102.80632,4551.638801,3859.673172,4153.183036,221965.2818,124866.197,178114.3388,13311.45329,39916.72406,9355.253885,2872.717614,6016.476357,4512.405442
1-O-coumaroyl-beta-D-glucose,142582.7743,147706.5892,97349.43017,64629.45718,76563.05251,83172.80982,50734.4822,44628.49243,31363.30511,67585.15029,47974.94381,53492.55827,56263.56302,62247.21098,69918.53148,128034.8454,135274.0237,221523.3718,11586.73634,25911.70907,32084.34852,232855.0328,199830.0322,175677.1089,25386.01761,196220.9776,131035.5124,60989.91289,127805.051,135138.9906
1-palmitoylglycerol;MAG(16:0),10790.17579,17821.94921,9757.382046,18835.74842,103084.6065,553678.5715,5234.549636,5695.982435,20017.29635,22116.1087,21198.82908,18587.00898,5233.82239,5343.612789,3601.546177,89384.54923,12898.42374,21006.07567,3798.595709,3865.338691,3644.616121,113834.5308,32719.67974,12223.15368,8657.072635,6113.448124,5781.818008,9136.994726,106556.3235,7773.330951
Gamma-L-Glutamyl-L-glutamicacid,538279.33,773263.3637,799200.2202,2048997.084,410743.6968,383675.2628,377459.4559,441676.9697,167989.4253,2271173.63,616790.4778,620881.4897,645764.8399,2430627.852,185849.4763,582553.0836,699156.771,505393.6687,440425.6913,544996.4947,302232.2731,442242.0516,489771.4241,613321.3485,398059.6279,519025.7429,279325.471,432923.3709,521777.3653,152335.7357
Trigonelline,1883885.384,1417115.247,667211.3298,5349.898906,1969.215998,6935.804338,410400.6539,258322.7169,39730.68229,68291.23721,81648.35452,89651.3543,4102.824656,6828.057988,9663.239273,53685062.97,34308737.73,13741199.3,33535.01551,23300.6505,2640.827846,372476.8745,634329.1662,1982596.406,293820.0408,10854.1868,40474.9597,8973.029657,44128.94934,39008.10158
trihomomethionine,4210919.694,1001287.441,204621.2654,3876.858805,4765.40745,130059.5448,2959.102784,4562.17038,2391.776082,3320.495816,1879.689804,4589.313359,5676.060886,27531.34124,6209.963716,40145.7846,23857.2617,120963.5241,115412.6653,51722.04416,164507.3651,116243.0032,159227.117,20538.921,176581.3637,4112.436093,121434.5176,45050.77632,316613.3924,3974.984593
(?)-a-Lipoamide,15015.12974,14148.56809,9285.661696,8246.801077,8325.209044,10838.9476,7326.920441,6466.370769,4038.838108,8831.950215,8367.447552,7093.332968,9452.493377,7099.985262,6324.435702,35811.24606,390940.8921,30565.54583,3367.860262,6637.643629,6221.170717,50991.75305,54451.52917,47663.52061,6240.374691,11386.47399,6658.431599,8965.902698,9503.474648,11995.81059
(-)-Isopiperitenone,1863781.943,3516465.013,860845.2261,473139.617,1029313.955,4426624.178,19349.96213,21848.02848,64404.83124,93596.15526,100305.6072,16995.33871,123684.446,116535.3344,65202.12972,232719.4269,289977.0262,215440.7955,21907.60368,102886.2944,37248.24145,357954.8519,358665.0531,270505.7521,32430.0737,133304.071,124904.4337,118856.9244,138358.6922,136910.1146
(-)-Jasmonicacid,6389397.177,3683176.672,1532051.544,1345703.584,1944048.234,1143413.299,297276.3231,553502.2104,308305.3177,650438.9686,698081.3947,921009.8109,2467907.487,821750.8048,640308.1779,3910471.784,2770186.928,5011649.205,231070.6777,288902.5493,273150.9613,6294692.448,4222916.366,4256335.492,646032.9001,1277846.278,1175140.701,538870.3774,284049.6694,1421781.06
(-)-trans-Carveol,332648.6414,152108.5219,221590.7001,176418.2166,120195.8892,136014.8913,37974.018,38050.67313,32828.49959,31491.68583,118058.0393,85797.89849,41151.48418,26254.17257,15407.02514,158850.3852,200482.1253,137073.8835,27502.80411,44653.33881,34466.68966,304889.9427,301108.9836,315202.587,28383.48787,36566.8265,27713.94826,59663.14634,46313.22301,84554.70449
(+)-Bornane-2_5-dione,647296.0306,306822.6888,480510.6615,280883.8304,170946.9562,188521.0317,480516.6454,397934.362,741037.7511,780768.795,786457.878,470639.9601,1024607.045,1723639.859,1114803.118,3334966.886,24351839.88,9022943.952,56899.44483,103167.6033,145992.622,580717.0488,625785.2967,653812.7702,123573.7199,330614.0585,168035.747,211733.2754,340599.6401,364309.917
(+)-exo-5-Hydroxycamphor,79392.51767,45087.56597,31338.1842,36742.78877,37180.95003,29978.59891,21972.27599,12299.89778,6204.607749,21620.90887,17516.48364,18637.68485,25010.73174,18295.35118,19398.79208,180315.563,151107.9816,71310.69281,14123.00542,12108.85192,5235.636893,227599.0065,151634.3366,74405.90434,25853.27359,27307.19386,26129.60706,25073.06375,26397.39559,27149.08702
(+)-N-Methylconiine,9355.796651,7899.899987,8120.922723,4073.837189,4535.585854,20048.54584,4050.592812,3779.904849,2893.397812,3409.650883,5148.971387,4003.440981,3613.549428,3328.256263,2572.769027,30028.63919,10797.30452,53141.22157,2298.40668,4138.241746,4062.968452,17621.94389,11248.51825,28243.55558,4079.220986,13156.66782,5145.771399,4934.423979,441919.0694,223889.5711
(+)-pinoresinol,17538335.01,15842263.38,15171095.91,42375462.97,4423934.932,4302140.156,3986000.391,861449.6458,2891456.392,4460168.218,9207934.465,6790875.237,4297899.649,5003604.728,10532859.26,29330315.72,9995251.434,18793801.84,2960418.492,3384495.641,4594220.525,11117089.21,56227351.87,11882717.14,14661141.52,14756096.67,9976976.548,7368117.533,13334441.37,6864212.034
(+/-)-6-Hydroxy-3-oxo-alpha-ionol,261555.305,279896.3459,111337.3054,288226.0925,222606.4686,139188.2793,60354.88342,146197.8221,75564.57614,90270.41641,87901.89383,146240.9829,179626.4026,76069.20606,53680.65896,533685.355,174642.175,390046.2181,18622.91542,14557.01465,43548.05292,312147.2287,285199.9372,630296.605,52357.0357,309941.4771,78976.07945,157026.8548,205577.1034,120487.5641
