Domain,Phylum,Class,Order,Family,Genus,Species,#NAME,Sediment,,,Water,,,,Algae,,,,,,,,,
,,,,,,,,DSD,PSD,CSD,DW,GIW,PW,CW,CDd,CPa,CSp,DPa,DSp,GIDd,GIPa,GISp,PPa,PSp
Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,pedis,Acanthopleuribacter pedis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Acaryochloridaceae,Acaryochloris,Acaryochloris marina,Acaryochloris marina,0,0,0,0,0,0,1,0,0,6,1,2,0,0,0,0,1
Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Acaryochloridaceae,Acaryochloris,unclassified Acaryochloris,Acaryochloris sp. 'Moss Beach',0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Acaryochloridaceae,Acaryochloris,unclassified Acaryochloris,Acaryochloris sp. CCMEE 5410,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0
Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Actinomarinicola,Actinomarinicola tropica,Actinomarinicola tropica,0,0,0,0,0,0,0,10,0,0,0,5,1,7,11,0,0
Bacteria,Bacteroidetes/Chlorobi group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aequorivita,Aequorivita capsosiphonis,Aequorivita capsosiphonis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas cavernicola,Aeromonas cavernicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas caviae,Aeromonas caviae,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas veronii,Aeromonas veronii,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,unclassified Aeromonas,Aeromonas sp. ASNIH2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agaribacterium,Agaribacterium haliotis,Agaribacterium haliotis,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Agarilytica,Agarilytica rhodophyticola,Agarilytica rhodophyticola,0,0,0,0,0,0,0,1,0,0,1,0,0,11,1,0,1
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans,Agarivorans aestuarii,Agarivorans aestuarii,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans,Agarivorans gilvus,Agarivorans gilvus,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
Bacteria,Chloroflexi,Anaerolineae,Aggregatilineales,Aggregatilineaceae,Aggregatilinea,Aggregatilinea lenta,Aggregatilinea lenta,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax hongdengensis,Alcanivorax hongdengensis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax profundi,Alcanivorax profundi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax sediminis,Alcanivorax sediminis,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,unclassified Alcanivorax,Alcanivorax sp. 1008,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bacteria,Bacteroidetes/Chlorobi group,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus marinus,Algoriphagus marinus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pleioneaceae,Aliikangiella,Aliikangiella coralliicola,Aliikangiella coralliicola,0,0,7,0,0,0,0,1,0,0,0,0,2,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pleioneaceae,Aliikangiella,Aliikangiella marina,Aliikangiella marina,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,Amphritea atlantica,Amphritea atlantica,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,Amphritea japonica,Amphritea japonica,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amylibacter,Amylibacter kogurei,Amylibacter kogurei,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
